ID,Categoria,"Requerimiento no funcional","Escenario de prueba",Precondiciones,"Pasos ejecutados","Resultado esperado","Resultado obtenido",Estatus
NF-001,Seguridad,Autenticacion,"Intentar acceso a rutas protegidas sin sesion y con sesion expirada","Ambiente de QA disponible; controles de Seguridad habilitados; alcance Autenticacion accesible; metodo Seguridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance Autenticacion -> Ejecutar la prueba intentar acceso a rutas protegidas sin sesion y con sesion expirada -> Validar respuesta, controles, logs y evidencia","Toda ruta protegida responde redirect/login o 401/403 segun corresponda.","Pendiente de ejecucion.",
NF-002,Seguridad,"Autorizacion por rol","Intentar acceso cruzado entre supplier, buyer, receiver, accounting, superadmin, authorizer","Ambiente de QA disponible; controles de Seguridad habilitados; alcance Autorizacion por rol accesible; metodo Seguridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance Autorizacion por rol -> Ejecutar la prueba intentar acceso cruzado entre supplier, buyer, receiver, accounting, superadmin, authorizer -> Validar respuesta, controles, logs y evidencia","No existe fuga de datos ni acceso a acciones ajenas.","Pendiente de ejecucion.",
NF-003,Seguridad,"API externa empleados","Invocar routes/api.php sin api.key, con key invalida y con key valida","Ambiente de QA disponible; controles de Seguridad habilitados; alcance API externa empleados accesible; metodo Seguridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance API externa empleados -> Ejecutar la prueba invocar routes/api.php sin api.key, con key invalida y con key valida -> Validar respuesta, controles, logs y evidencia","Solo requests con key valida ejecutan la accion.","Pendiente de ejecucion.",
NF-004,Seguridad,"Password reset y verification","Evaluar throttle, expiracion y reuso de tokens","Ambiente de QA disponible; controles de Seguridad habilitados; alcance Password reset y verification accesible; metodo Seguridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance Password reset y verification -> Ejecutar la prueba evaluar throttle, expiracion y reuso de tokens -> Validar respuesta, controles, logs y evidencia","No se acepta token expirado/reutilizado; throttle activo.","Pendiente de ejecucion.",
NF-005,Seguridad,"Upload de archivos","Subir XML, PDF, imagenes y documentos con mime falso, extension alterada y tamanos maximos","Ambiente de QA disponible; controles de Seguridad habilitados; alcance Upload de archivos accesible; metodo Seguridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance Upload de archivos -> Ejecutar la prueba subir XML, PDF, imagenes y documentos con mime falso, extension alterada y tamanos maximos -> Validar respuesta, controles, logs y evidencia","Sistema rechaza archivos invalidos y registra error controlado.","Pendiente de ejecucion.",
NF-006,Seguridad,"Descarga de archivos","Probar acceso directo a remisiones, attachments RFQ, storage proxy y documentos proveedor de terceros","Ambiente de QA disponible; controles de Seguridad habilitados; alcance Descarga de archivos accesible; metodo Seguridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance Descarga de archivos -> Ejecutar la prueba probar acceso directo a remisiones, attachments RFQ, storage proxy y documentos proveedor de terceros -> Validar respuesta, controles, logs y evidencia","Acceso solo al actor autorizado; path traversal bloqueado.","Pendiente de ejecucion.",
NF-007,Seguridad,"Inyeccion y sanitizacion","Busquedas datatable, comentarios, motivos, nombres de archivos y campos libres con payloads de SQLi/XSS","Ambiente de QA disponible; controles de Seguridad habilitados; alcance Inyeccion y sanitizacion accesible; metodo Seguridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance Inyeccion y sanitizacion -> Ejecutar la prueba busquedas datatable, comentarios, motivos, nombres de archivos y campos libres con payloads de SQLi/XSS -> Validar respuesta, controles, logs y evidencia","No se ejecuta script ni se rompe la consulta; salida escapada.","Pendiente de ejecucion.",
NF-008,Seguridad,"Integridad de sesiones","Validar cambio de password, lock/unlock, logout y cierre de cuenta","Ambiente de QA disponible; controles de Seguridad habilitados; alcance Integridad de sesiones accesible; metodo Seguridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance Integridad de sesiones -> Ejecutar la prueba validar cambio de password, lock/unlock, logout y cierre de cuenta -> Validar respuesta, controles, logs y evidencia","Rotacion o invalidacion de sesion cuando aplique.","Pendiente de ejecucion.",
NF-009,Seguridad,"Datos sensibles","Revisar visibilidad de RFC, datos bancarios, UUID, remisiones y correos","Ambiente de QA disponible; controles de Seguridad habilitados; alcance Datos sensibles accesible; metodo Seguridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance Datos sensibles -> Ejecutar la prueba revisar visibilidad de RFC, datos bancarios, UUID, remisiones y correos -> Validar respuesta, controles, logs y evidencia","Minima exposicion por rol y pagina.","Pendiente de ejecucion.",
NF-010,Seguridad,"Dev logs","Validar que visor de logs no sea publico ni indexable","Ambiente de QA disponible; controles de Seguridad habilitados; alcance Dev logs accesible; metodo Seguridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance Dev logs -> Ejecutar la prueba validar que visor de logs no sea publico ni indexable -> Validar respuesta, controles, logs y evidencia","Acceso totalmente restringido.","Pendiente de ejecucion.",
NF-011,Seguridad,"EFOS/TRESS/API keys","Ejecutar comandos sin variables requeridas","Ambiente de QA disponible; controles de Seguridad habilitados; alcance EFOS/TRESS/API keys accesible; metodo Configuracion preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance EFOS/TRESS/API keys -> Ejecutar la prueba ejecutar comandos sin variables requeridas -> Validar respuesta, controles, logs y evidencia","Falla controlada, mensaje claro, sin stacktrace sensible.","Pendiente de ejecucion.",
NF-012,Seguridad,CSRF,"Intentar POST/PUT/DELETE sin token en flujos web","Ambiente de QA disponible; controles de Seguridad habilitados; alcance CSRF accesible; metodo Seguridad preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Seguridad -> Ubicar el alcance CSRF -> Ejecutar la prueba intentar POST/PUT/DELETE sin token en flujos web -> Validar respuesta, controles, logs y evidencia","Rechazo consistente en operaciones mutables.","Pendiente de ejecucion.",
NF-020,Rendimiento,"Listados principales","Medir users, suppliers, employees, purchase-orders, receptions, invoices, annual_budgets con dataset grande","Ambiente de QA disponible; controles de Rendimiento habilitados; alcance Listados principales accesible; metodo Carga preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Rendimiento -> Ubicar el alcance Listados principales -> Ejecutar la prueba medir users, suppliers, employees, purchase-orders, receptions, invoices, annual_budgets con dataset grande -> Validar respuesta, controles, logs y evidencia","P95 aceptable definido por QA; sin timeouts ni memory leaks.","Pendiente de ejecucion.",
NF-021,Rendimiento,"Requisition Livewire","Medir latencia al agregar/quitar partidas y recalcular formularios","Ambiente de QA disponible; controles de Rendimiento habilitados; alcance Requisition Livewire accesible; metodo Carga preparado para validacion; bitacoras o monitoreo disponibles para evidencia.","Preparar el escenario de Rendimiento -> Ubicar el alcance Requisition Livewire -> Ejecutar la prueba medir latencia al agregar/quitar partidas y recalcular formularios -> Validar respuesta, controles, logs y evidencia","Interaccion fluida con dataset nominal y alto.","Pendiente de ejecucion.",
