ID,Modulo,"Requerimiento funcional","Escenario de prueba",Precondiciones,"Pasos ejecutados","Resultado esperado","Resultado obtenido",Estatus
F-001,"Acceso base",Login,"Acceso con credenciales validas","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Login habilitado; nivel de prueba UI + Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Login -> Ejecutar el escenario acceso con credenciales validas -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: acceso con credenciales validas.","Pendiente de ejecucion.",
F-001,"Acceso base",Login,"Rechazo por password invalido","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Login habilitado; nivel de prueba UI + Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Login -> Ejecutar el escenario rechazo por password invalido -> Validar respuesta del sistema y evidencia generada","El sistema rechaza la accion indicada, conserva la integridad del flujo y muestra el mensaje o validacion correspondiente.","Pendiente de ejecucion.",
F-001,"Acceso base",Login,"Rechazo por usuario inactivo","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Login habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Login -> Ejecutar el escenario rechazo por usuario inactivo -> Validar respuesta del sistema y evidencia generada","El sistema rechaza la accion indicada, conserva la integridad del flujo y muestra el mensaje o validacion correspondiente.","Pendiente de ejecucion.",
F-001,"Acceso base",Login,"Sesion creada","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Login habilitado; nivel de prueba UI + Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Login -> Ejecutar el escenario sesion creada -> Validar respuesta del sistema y evidencia generada","El registro se crea correctamente, respetando validaciones y reglas de negocio.","Pendiente de ejecucion.",
F-001,"Acceso base",Login,"Redireccion por rol","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Login habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Login -> Ejecutar el escenario redireccion por rol -> Validar respuesta del sistema y evidencia generada","El sistema redirige al usuario al destino correcto conforme a su perfil o estado.","Pendiente de ejecucion.",
F-002,"Acceso base",Logout,"Cierre correcto de sesion","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Logout habilitado; nivel de prueba UI + Feature HTTP disponible; credenciales de prueba disponibles.","Ingresar al modulo Acceso base -> Abrir el flujo Logout -> Ejecutar el escenario cierre correcto de sesion -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: cierre correcto de sesion.","Pendiente de ejecucion.",
F-002,"Acceso base",Logout,"Invalidacion de token CSRF previo","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Logout habilitado; nivel de prueba UI + Feature HTTP disponible; token de prueba generado.","Ingresar al modulo Acceso base -> Abrir el flujo Logout -> Ejecutar el escenario invalidacion de token CSRF previo -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: invalidacion de token CSRF previo.","Pendiente de ejecucion.",
F-002,"Acceso base",Logout,"No acceso a vistas protegidas despues de logout","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Logout habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Logout -> Ejecutar el escenario no acceso a vistas protegidas despues de logout -> Validar respuesta del sistema y evidencia generada","El sistema impide el acceso o la accion no autorizada y mantiene protegido el recurso.","Pendiente de ejecucion.",
F-003,"Acceso base","Forgot password","Solicitud con correo valido","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Forgot password habilitado; nivel de prueba UI + Feature HTTP disponible; correo de prueba configurado.","Ingresar al modulo Acceso base -> Abrir el flujo Forgot password -> Ejecutar el escenario solicitud con correo valido -> Validar respuesta del sistema y evidencia generada","El sistema cumple correctamente con el escenario evaluado: solicitud con correo valido.","Pendiente de ejecucion.",
F-003,"Acceso base","Forgot password","Rechazo con correo inexistente","Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Forgot password habilitado; nivel de prueba UI + Feature HTTP disponible; correo de prueba configurado.","Ingresar al modulo Acceso base -> Abrir el flujo Forgot password -> Ejecutar el escenario rechazo con correo inexistente -> Validar respuesta del sistema y evidencia generada","El sistema rechaza la accion indicada, conserva la integridad del flujo y muestra el mensaje o validacion correspondiente.","Pendiente de ejecucion.",
F-003,"Acceso base","Forgot password",Throttle,"Ambiente de QA disponible; usuario con acceso al modulo Acceso base; flujo Forgot password habilitado; nivel de prueba UI + Feature HTTP disponible.","Ingresar al modulo Acceso base -> Abrir el flujo Forgot password -> Ejecutar el escenario throttle -> Validar respuesta del sistema y evidencia generada","El sistema aplica el limite de intentos conforme a la politica configurada.","Pendiente de ejecucion.",
