Columna1	Columna2	Columna3	Columna4	Columna5	Columna6	Columna7
F-001	Acceso base	Login	UI + Feature HTTP	acceso con credenciales validas; rechazo por password invalido; rechazo por usuario inactivo; sesion creada; redireccion por rol	Critica	Automatizada
F-002	Acceso base	Logout	UI + Feature HTTP	cierre correcto de sesion; invalidacion de token CSRF previo; no acceso a vistas protegidas despues de logout	Alta	Parcial
F-003	Acceso base	Forgot password	UI + Feature HTTP	solicitud con correo valido; rechazo con correo inexistente; throttle; mensaje de confirmacion	Alta	No identificada
F-004	Acceso base	Reset password	UI + Feature HTTP	token valido; token expirado; password policy; confirmacion requerida; inicio de sesion posterior	Alta	No identificada
F-005	Acceso base	Verificacion de email	UI + Feature HTTP	aviso al usuario; envio de nueva notificacion; enlace firmado valido; enlace alterado o expirado	Media	No identificada
F-006	Acceso base	Lock screen	UI + Feature HTTP	bloqueo manual; pantalla bloqueada aun con sesion valida; desbloqueo con password correcta; rechazo con password incorrecta	Alta	No identificada
F-007	Acceso base	Dashboard	UI	visibilidad por rol; widgets sin error cuando no hay datos; carga con datos minimos y volumetricos	Alta	Parcial
F-008	Acceso base	Perfil de usuario	UI + Feature HTTP	editar nombre/email; validaciones; cambio de password; persistencia; mensajes de exito y error	Alta	Automatizada
F-009	Acceso base	Eliminacion de cuenta	Feature HTTP	borrado del usuario propietario; cierre de sesion; proteccion contra borrado sin password correcta si aplica	Media	Parcial
F-010	Acceso base	Centro de notificaciones	UI + Feature HTTP	listado; abrir notificacion redirige correctamente; marcar una como leida; marcar todas como leidas	Alta	No identificada
F-011	Soporte	Storage file proxy	Feature HTTP	descarga de archivo existente; mime correcto; 404 en path inexistente; rechazo a path traversal	Alta	No identificada
F-012	Soporte	Log viewer	UI + Feature HTTP	visualizacion de logs; limpieza de logs; restriccion de acceso; comportamiento sin archivo de log	Critica	No identificada
F-013	Seguridad funcional	Matriz de acceso por modulo	Feature HTTP	cada rol accede solo a modulos permitidos por config/module_access.php; alias super_admin y accountant resuelven correctamente	Critica	Automatizada
F-020	Proveedores	Registro publico de proveedor	UI + Feature HTTP	alta completa; campos obligatorios; datos fiscales validos; persistencia de usuario y supplier; asignacion de rol supplier	Critica	Automatizada
F-021	Proveedores	Dominio de email permitido	Feature HTTP + Rule	aceptacion de dominio permitido; rechazo de dominio no permitido; normalizacion de mayusculas/minusculas	Alta	Automatizada
F-022	Proveedores	Validacion de RFC	Feature HTTP + Rule	RFC valido persona moral/fisica; RFC invalido; formato con espacios; duplicidad	Critica	No identificada
F-023	Proveedores	Validacion EFOS en registro	Feature HTTP + Rule	proveedor limpio; proveedor Presunto; proveedor Definitivo; mensaje funcional esperado	Critica	Parcial
F-024	Proveedores	REPSE condicionado	UI + Feature HTTP	captura obligatoria cuando proveedor es especializado; no requerida cuando no aplica; edicion posterior	Alta	No identificada
F-025	Proveedores	Duplicidad de proveedor	Feature HTTP	rechazo por email duplicado; rechazo por RFC duplicado; manejo de colisiones de company_name	Alta	No identificada
