Columna1	Columna2	Columna3	Columna4	Columna5	Columna6	Columna7
NF-001	Seguridad	Autenticacion	intentar acceso a rutas protegidas sin sesion y con sesion expirada	Seguridad	toda ruta protegida responde redirect/login o 401/403 segun corresponda	Parcial
NF-002	Seguridad	Autorizacion por rol	"intentar acceso cruzado entre supplier, buyer, receiver, accounting, superadmin, authorizer"	Seguridad	no existe fuga de datos ni acceso a acciones ajenas	Parcial
NF-003	Seguridad	API externa empleados	"invocar routes/api.php sin api.key, con key invalida y con key valida"	Seguridad	solo requests con key valida ejecutan la accion	No identificada
NF-004	Seguridad	Password reset y verification	"evaluar throttle, expiracion y reuso de tokens"	Seguridad	no se acepta token expirado/reutilizado; throttle activo	No identificada
NF-005	Seguridad	Upload de archivos	"subir XML, PDF, imagenes y documentos con mime falso, extension alterada y tamanos maximos"	Seguridad	sistema rechaza archivos invalidos y registra error controlado	No identificada
NF-006	Seguridad	Descarga de archivos	"probar acceso directo a remisiones, attachments RFQ, storage proxy y documentos proveedor de terceros"	Seguridad	acceso solo al actor autorizado; path traversal bloqueado	No identificada
NF-007	Seguridad	Inyeccion y sanitizacion	"busquedas datatable, comentarios, motivos, nombres de archivos y campos libres con payloads de SQLi/XSS"	Seguridad	no se ejecuta script ni se rompe la consulta; salida escapada	No identificada
NF-008	Seguridad	Integridad de sesiones	"validar cambio de password, lock/unlock, logout y cierre de cuenta"	Seguridad	rotacion o invalidacion de sesion cuando aplique	No identificada
NF-009	Seguridad	Datos sensibles	"revisar visibilidad de RFC, datos bancarios, UUID, remisiones y correos"	Seguridad	minima exposicion por rol y pagina	No identificada
NF-010	Seguridad	Dev logs	validar que visor de logs no sea publico ni indexable	Seguridad	acceso totalmente restringido	No identificada
NF-011	Seguridad	EFOS/TRESS/API keys	ejecutar comandos sin variables requeridas	Configuracion	"falla controlada, mensaje claro, sin stacktrace sensible"	No identificada
NF-012	Seguridad	CSRF	intentar POST/PUT/DELETE sin token en flujos web	Seguridad	rechazo consistente en operaciones mutables	No identificada
NF-020	Rendimiento	Listados principales	"medir users, suppliers, employees, purchase-orders, receptions, invoices, annual_budgets con dataset grande"	Carga	p95 aceptable definido por QA; sin timeouts ni memory leaks	No identificada
NF-021	Rendimiento	Requisition Livewire	medir latencia al agregar/quitar partidas y recalcular formularios	Carga	interaccion fluida con dataset nominal y alto	No identificada
NF-022	Rendimiento	RFQ comparison	comparar RFQ con muchas partidas y proveedores	Carga	pagina usable y consultas estables	No identificada
NF-023	Rendimiento	Budget availability	ejecutar check-availability concurrente desde requisiciones y OCD	Carga	respuesta consistente y sin sobregiros por carrera	No identificada
NF-024	Rendimiento	Recepciones	registrar recepcion con multiples partidas y evidencias	Carga	respuesta sin timeout; archivos persistidos correctamente	No identificada
NF-025	Rendimiento	Sync EFOS	procesar CSV grande del SAT	Carga	job concluye dentro de ventana operativa y sin agotar memoria	No identificada
NF-026	Rendimiento	Sync TRESS	procesar CSV grande de empleados	Carga	tiempo de importacion controlado; sin duplicados ni bloqueos	No identificada
NF-027	Rendimiento	Scheduler nocturno	cierre masivo de OC/OCD y envio de alertas	Carga	sin solapamientos; finaliza dentro de la ventana de cron	No identificada
NF-030	Confiabilidad	Transacciones criticas	"inducir falla intermedia en registro de supplier, RFQ, OCD, recepcion e invoice"	Resiliencia	rollback completo; no quedan registros huerfanos	No identificada
NF-031	Confiabilidad	Idempotencia de commands/jobs	"ejecutar sync EFOS, sync tipo de cambio, TRESS y cierre inactivo dos veces seguidas"	Resiliencia	segunda ejecucion no rompe datos ni duplica efectos	Parcial
NF-032	Confiabilidad	Concurrencia	"doble submit, doble approve, doble reception, doble link-invoice"	Resiliencia	una sola operacion prevalece; la otra falla controladamente	No identificada
